Rho,Mean_1,Mean_2,Mean_4,Variance_1,Variance_2,Variance_4
0.7,1.143097527429852,0.4835538731944128,0.1809314923195814,2.0953479169106934,0.49204054749403925,0.10629796948965807
0.7030292929292928,1.159267127382799,0.49151767769755045,0.18458315752813365,2.1436688872224896,0.5038977841759749,0.10912990740045383
0.7060585858585858,1.1757420738030655,0.4996694827988823,0.1883174917100253,2.1934120547779075,0.5161650909799295,0.11205378252930995
0.7090878787878787,1.1925132058052226,0.507956669676327,0.1921323450035542,2.24452335214841,0.5287930208071698,0.11507741511672502
0.7121171717171717,1.2096507273320452,0.5164155064407451,0.19602806889912683,2.2972893636099583,0.5417933344223039,0.11819983019978461
0.7151464646464646,1.2271369783261015,0.5250445048936163,0.2000123076769779,2.351790609011503,0.5552366653129011,0.12143191647922374
0.7181757575757576,1.244903379002027,0.53383204511212,0.20408881333137754,2.4078787821320278,0.5690834872905436,0.12477749030059873
0.7212050505050505,1.2630736433097403,0.5428340941649971,0.20826955818587778,2.4659200635216476,0.5834086949199305,0.1282510128117204
0.7242343434343433,1.281626525569139,0.5520523201278359,0.2125453838935556,2.525568468048821,0.5982391474482264,0.13184280616548072
0.7272636363636363,1.3005383704819462,0.5614776923171206,0.21692092107841016,2.5869412319149947,0.6135835092661738,0.13555563145019764
0.7302929292929292,1.3198407925106461,0.5711168374965406,0.22139945513474207,2.650388472234545,0.6294335790549189,0.13939692287382544
0.7333222222222222,1.339591754704686,0.5810044176003724,0.22597320652738312,2.715851541737594,0.6459199810950673,0.14336677903502465
0.7363515151515151,1.3597667711970147,0.5911578131991794,0.23065583264457817,2.7833562756579604,0.6631059867914831,0.1474786683850005
0.7393808080808081,1.380383227128635,0.601569411341657,0.23545735512800706,2.852951015821947,0.6809342831257856,0.15174874117162798
0.742410101010101,1.4015207361286262,0.6122269532853138,0.24036951944090595,2.925070735068429,0.6994319744324645,0.15616683975994208
0.745439393939394,1.423079883787422,0.6231646104999187,0.24539861701375545,2.9995960137971025,0.7187817845976424,0.16073866066881637
0.7484686868686868,1.4452420425343029,0.6343665905190405,0.2505636911373462,3.07713663164167,0.7389306203279472,0.16549709529117107
0.7514979797979797,1.4679912481776456,0.6457845249066092,0.2558519051020343,3.158030798628121,0.7598077254772344,0.1704357387273498
0.7545272727272727,1.4912473660186008,0.6574378667855361,0.26127365902721655,3.24225684202665,0.7814385019580992,0.17555300744039812
0.7575565656565656,1.514937604466526,0.6694005156691859,0.266828673088575,3.329237581232638,0.8040556337146423,0.18085190316589708
0.7605858585858586,1.5391471673995185,0.6816581393347121,0.27252273081282136,3.419630969110915,0.8276276397950169,0.18634628198042652
0.7636151515151515,1.563870727326735,0.6942161832583703,0.2783554520873345,3.513439701352947,0.8522101953735166,0.19204204638868907
