Rho,Mean_1,Mean_2,Mean_4,Variance_1,Variance_2,Variance_4
0.5817575757575758,4.8531249481809,1.6278128449275848,0.4613216961383441,69.45844583439029,11.789152858649194,1.7392431671220463
0.5878161616161617,5.014930390595162,1.681170839369681,0.49571456513112233,71.80297980691971,11.989494569461751,1.9340445709669016
0.5938747474747474,5.072574892615001,1.7537058347618364,0.49643064214993593,72.95413358878045,12.852538597591204,1.8448304252070438
0.5999333333333333,5.28745676994489,1.791034833713814,0.5169142242661149,75.75666792925682,13.317151638644942,1.9294020542359533
0.6059919191919192,5.418709453984029,1.9064329033529501,0.5370324464791025,79.93866752924745,15.038639891486088,2.0124621502643296
0.6120505050505051,5.5140751168324,2.015301580200103,0.5608455329611747,79.81913848400417,16.373291044900032,2.1044874180679787
0.6181090909090909,5.577082196598348,1.9968289917366402,0.6069570832475932,80.06766795352766,15.816967606525028,2.4543412205568758
0.6241676767676768,5.686797233151635,2.045027314422978,0.6447819392931807,82.54271287725419,16.150205446466195,2.6085765822113105
0.6302262626262627,5.862109442065793,2.109224693393262,0.644967303054122,85.66407033916262,16.94920990905795,2.561010290938413
0.6362848484848485,5.910213642454789,2.2456505356467984,0.6568266649914125,85.97927638903225,18.652555971992083,2.614243572384099
0.6423434343434344,6.177519559216415,2.260324377519191,0.71867079154691,94.03727527169468,18.414107081034917,2.9852098792972774
0.6484020202020202,6.062703501342734,2.357211439654063,0.7628076192137679,86.85811659716468,19.515495154446853,3.222805838457934
0.6544606060606061,6.305578449357869,2.4268447885359827,0.7732933686494871,94.59146230490362,19.791271995409783,3.290919715304369
0.660519191919192,6.530194792972283,2.5398110408760712,0.7952723084440869,98.94982442211519,21.89144706203891,3.2942235918876444
0.6665777777777778,6.81107857450069,2.6681651866090212,0.8040823523764722,106.58819038461824,23.402123515594983,3.4706502476772103
0.6726363636363637,7.209840426848293,2.6920258155048096,0.8872040095114831,122.27367290660493,23.76415683006984,4.531421708884463
0.6786949494949495,7.313389595945039,2.7626020286552255,0.9342933869611947,119.80958734922758,25.199535310849328,4.537726938629371
0.6847535353535354,7.395950078192552,2.8362289260029474,0.9346269709091363,118.77598692845696,24.974945461602694,4.263281039568716
0.6908121212121212,7.360281125292464,3.0116339800902328,0.9875421994589829,114.79160822497992,27.392438602553916,4.522259291538346
0.6968707070707071,7.751479915655781,3.0971866390904923,1.0251533429119821,124.46159767119235,29.646089806184623,4.728808286852734
0.702929292929293,7.8673545026364415,3.112665742719717,1.0146409035003354,129.78024711896967,27.55140027331765,4.256041387669791
0.7089878787878788,8.2127696600647,3.1832719873229425,1.1292523763171904,140.28911846173978,27.84139828347253,5.707179664117583
0.7150464646464647,8.329507621266957,3.231669180021527,1.2324890052527695,140.71848539408458,28.754157467730582,6.108984973620771
0.7211050505050505,8.754067545810363,3.4042051120758066,1.232508071723433,149.15181639690442,32.11470221091863,6.015950687907272
0.7271636363636365,9.018987243197992,3.4202042366559406,1.2749263231491959,164.49464274313607,30.206828731862824,6.17787499336108
0.7332222222222222,9.181919932266258,3.6598451833593635,1.3701165612079833,166.5988457385888,35.29468058748972,7.2778015090380475
0.7392808080808081,9.141157912019397,3.674010009704345,1.3859082990870677,155.27246288638128,32.839987651228356,6.724927834500835
0.745339393939394,9.73397299095118,3.8994748478431434,1.4911832118808388,176.35269655300635,37.827325754887895,7.923239874944898
0.7513979797979798,9.792080138944092,4.166210581876153,1.5959968283540849,181.62712915697375,40.660446101844144,9.249625097928357
0.7574565656565657,10.156239805999439,4.202151195738576,1.5745474557146906,192.29603017248877,43.18014952856679,8.140616933311774
0.7635151515151515,10.317328719371023,4.340120076913334,1.6347009451285808,193.58111386276593,44.75852836012468,8.824542384083824
0.7695737373737375,11.147031034433834,4.62397435758184,1.8671488202082505,225.8832603501865,50.07131801080337,11.538512855509593
0.7756323232323232,11.339165198278918,4.737214525865236,1.8413022243139838,233.47097542302168,49.182013523179634,10.565223465856311
0.7816909090909091,11.662642032432524,4.8653762900416915,1.9134131446510698,229.94064430262404,51.9736129547861,11.332799339760427
0.787749494949495,11.770776280276781,5.264185154940399,1.9871538187942381,234.35394661856375,59.37129036121041,12.224634929077748
0.7938080808080809,12.377219588342015,5.2649821722738785,2.047179804137888,256.85674772192834,60.308177010346874,12.725380571375306
0.7998666666666667,12.851730896592722,5.418388955506477,2.198013743604854,267.3906018818636,60.68488407358445,14.142671243135522
0.8059252525252525,12.59263171107956,5.457271558677539,2.2874412276867697,250.4309800180928,60.57772067864477,14.251823058885494
0.8119838383838385,13.210310219353326,6.064061872455068,2.4406112972832554,280.04978476430244,77.50391082372563,15.151227814927976
0.8180424242424242,14.315076969924007,5.971543157213734,2.51832131057022,335.61293754485143,75.63716673769517,16.193178296398823
0.8241010101010101,14.943728625931161,6.191544663570103,2.5053149636082828,352.37986510476566,74.34706291538487,15.04794805089597
0.830159595959596,15.28194033964671,7.025179027567968,2.7755882094563775,365.4875259682002,105.28477991485636,19.047665951008632
0.8362181818181819,16.094517552771293,7.066607722995488,2.875688986591939,397.9270270757607,94.44916458134568,19.427013513964418
0.8422767676767677,16.589978863358034,7.30004559608819,2.9763201900775167,405.43588259276146,95.51968079201806,20.1831778986413
0.8483353535353535,16.986178277651305,7.71483929301174,2.994294540643884,430.64872179871134,106.4786920539559,19.230947181914818
0.8543939393939395,17.731637562145107,8.091292517849299,3.3434601599939913,485.58006723245137,114.07008452654128,24.8546417532239
0.8604525252525252,17.51402186371523,8.08911035224879,3.4709773878924453,435.8399326656406,111.91208390101022,26.583321967008494
0.8665111111111111,17.750682614205438,8.428154552307472,3.654068940203631,435.0058265030091,121.74632455249207,29.45975920343749
0.872569696969697,18.10404501827597,8.499255190265664,3.5464144013473606,445.5097366250551,121.9482288944687,24.736473356277816
0.8786282828282829,19.369229462628397,9.173761035026496,3.958946948246424,513.973535527295,137.72283331267428,32.572417263873476
0.8846868686868687,20.967090593238584,9.616540404494911,4.044257879201594,602.5842056136119,143.93214598431877,30.865886968683288
0.8907454545454545,21.281492167141444,10.436114300962688,4.304976867110132,618.909885614395,176.4159143050208,36.30195071960034
0.8968040404040405,22.087235152866285,10.229530346873315,4.440130982394968,622.9166743356993,160.67594858320666,37.38826886170144
0.9028626262626263,22.84779848665364,10.202824893541916,4.68107073882302,661.0299779891152,147.96704791240617,40.52771635896928
