Group 1,Group 2,Significant Rho Values
M/M/n Mean_1,M/D/n Mean_1,"[0.7, 0.7030292929292928, 0.7060585858585858, 0.7090878787878787, 0.7121171717171717, 0.7151464646464646, 0.7181757575757576, 0.7212050505050505, 0.7242343434343433, 0.7272636363636363, 0.7302929292929292, 0.7333222222222222, 0.7363515151515151, 0.7393808080808081, 0.742410101010101, 0.745439393939394, 0.7484686868686868, 0.7514979797979797, 0.7545272727272727, 0.7575565656565656, 0.7605858585858586, 0.7636151515151515, 0.7666444444444445, 0.7696737373737373, 0.7727030303030302, 0.7757323232323232, 0.7787616161616161, 0.7817909090909091, 0.784820202020202, 0.787849494949495, 0.7908787878787878, 0.7939080808080807, 0.7969373737373737, 0.7999666666666666, 0.8029959595959596, 0.8060252525252525, 0.8090545454545455, 0.8120838383838384, 0.8151131313131312, 0.8181424242424242, 0.8211717171717171, 0.8242010101010101, 0.827230303030303, 0.830259595959596, 0.8332888888888889, 0.8363181818181817, 0.8393474747474747, 0.8423767676767677, 0.8454060606060606, 0.8484353535353535, 0.8514646464646465, 0.8544939393939394, 0.8575232323232322, 0.8605525252525252, 0.8635818181818182, 0.8666111111111111, 0.869640404040404, 0.872669696969697, 0.8756989898989899, 0.8787282828282827, 0.8817575757575757, 0.8847868686868687, 0.8878161616161616, 0.8908454545454545, 0.8938747474747475, 0.8969040404040404, 0.8999333333333333, 0.9029626262626262, 0.9059919191919192, 0.909021212121212, 0.912050505050505, 0.915079797979798, 0.9181090909090908, 0.921138383838384, 0.9241676767676767, 0.9271969696969696, 0.9302262626262626, 0.9332555555555556, 0.9362848484848484, 0.9393141414141414, 0.9423434343434344, 0.9453727272727273, 0.9484020202020202, 0.9514313131313132, 0.954460606060606, 0.957489898989899, 0.960519191919192, 0.9635484848484848, 0.9665777777777778, 0.9696070707070708, 0.9726363636363636, 0.9756656565656564, 0.9786949494949496, 0.9817242424242424, 0.9847535353535354, 0.9877828282828284, 0.9908121212121213, 0.993841414141414, 0.996870707070707, 0.9999]"
M/M/n Mean_1,M/D/n Mean_1,"[0.7, 0.7030292929292928, 0.7060585858585858, 0.7090878787878787, 0.7121171717171717, 0.7151464646464646, 0.7181757575757576, 0.7212050505050505, 0.7242343434343433, 0.7272636363636363, 0.7302929292929292, 0.7333222222222222, 0.7363515151515151, 0.7393808080808081, 0.742410101010101, 0.745439393939394, 0.7484686868686868, 0.7514979797979797, 0.7545272727272727, 0.7575565656565656, 0.7605858585858586, 0.7636151515151515, 0.7666444444444445, 0.7696737373737373, 0.7727030303030302, 0.7757323232323232, 0.7787616161616161, 0.7817909090909091, 0.784820202020202, 0.787849494949495, 0.7908787878787878, 0.7939080808080807, 0.7969373737373737, 0.7999666666666666, 0.8029959595959596, 0.8060252525252525, 0.8090545454545455, 0.8120838383838384, 0.8151131313131312, 0.8181424242424242, 0.8211717171717171, 0.8242010101010101, 0.827230303030303, 0.830259595959596, 0.8332888888888889, 0.8363181818181817, 0.8393474747474747, 0.8423767676767677, 0.8454060606060606, 0.8484353535353535, 0.8514646464646465, 0.8544939393939394, 0.8575232323232322, 0.8605525252525252, 0.8635818181818182, 0.8666111111111111, 0.869640404040404, 0.872669696969697, 0.8756989898989899, 0.8787282828282827, 0.8817575757575757, 0.8847868686868687, 0.8878161616161616, 0.8908454545454545, 0.8938747474747475, 0.8969040404040404, 0.8999333333333333, 0.9029626262626262, 0.9059919191919192, 0.909021212121212, 0.912050505050505, 0.915079797979798, 0.9181090909090908, 0.921138383838384, 0.9241676767676767, 0.9271969696969696, 0.9302262626262626, 0.9332555555555556, 0.9362848484848484, 0.9393141414141414, 0.9423434343434344, 0.9453727272727273, 0.9484020202020202, 0.9514313131313132, 0.954460606060606, 0.957489898989899, 0.960519191919192, 0.9635484848484848, 0.9665777777777778, 0.9696070707070708, 0.9726363636363636, 0.9756656565656564, 0.9786949494949496, 0.9817242424242424, 0.9847535353535354, 0.9877828282828284, 0.9908121212121213, 0.993841414141414, 0.996870707070707, 0.9999]"
M/D/n Mean_1,M/Lt/n Mean_1,"[0.7, 0.7030292929292928, 0.7060585858585858, 0.7090878787878787, 0.7121171717171717, 0.7151464646464646, 0.7181757575757576, 0.7212050505050505, 0.7242343434343433, 0.7272636363636363, 0.7302929292929292, 0.7333222222222222, 0.7363515151515151, 0.7393808080808081, 0.742410101010101, 0.745439393939394, 0.7484686868686868, 0.7514979797979797, 0.7545272727272727, 0.7575565656565656, 0.7605858585858586, 0.7636151515151515, 0.7666444444444445, 0.7696737373737373, 0.7727030303030302, 0.7757323232323232, 0.7787616161616161, 0.7817909090909091, 0.784820202020202, 0.787849494949495, 0.7908787878787878, 0.7939080808080807, 0.7969373737373737, 0.7999666666666666, 0.8029959595959596, 0.8060252525252525, 0.8090545454545455, 0.8120838383838384, 0.8151131313131312, 0.8181424242424242, 0.8211717171717171, 0.8242010101010101, 0.827230303030303, 0.830259595959596, 0.8332888888888889, 0.8363181818181817, 0.8393474747474747, 0.8423767676767677, 0.8454060606060606, 0.8484353535353535, 0.8514646464646465, 0.8544939393939394, 0.8575232323232322, 0.8605525252525252, 0.8635818181818182, 0.8666111111111111, 0.869640404040404, 0.872669696969697, 0.8756989898989899, 0.8787282828282827, 0.8817575757575757, 0.8847868686868687, 0.8878161616161616, 0.8908454545454545, 0.8938747474747475, 0.8969040404040404, 0.8999333333333333, 0.9029626262626262, 0.9059919191919192, 0.909021212121212, 0.912050505050505, 0.915079797979798, 0.9181090909090908, 0.921138383838384, 0.9241676767676767, 0.9271969696969696, 0.9302262626262626, 0.9332555555555556, 0.9362848484848484, 0.9393141414141414, 0.9423434343434344, 0.9453727272727273, 0.9484020202020202, 0.9514313131313132, 0.954460606060606, 0.957489898989899, 0.960519191919192, 0.9635484848484848, 0.9665777777777778, 0.9696070707070708, 0.9726363636363636, 0.9756656565656564, 0.9786949494949496, 0.9817242424242424, 0.9847535353535354, 0.9877828282828284, 0.9908121212121213, 0.993841414141414, 0.996870707070707, 0.9999]"
M/M/n Mean_2,M/D/n Mean_2,"[0.7, 0.7030292929292928, 0.7060585858585858, 0.7090878787878787, 0.7121171717171717, 0.7151464646464646, 0.7181757575757576, 0.7212050505050505, 0.7242343434343433, 0.7272636363636363, 0.7302929292929292, 0.7333222222222222, 0.7363515151515151, 0.7393808080808081, 0.742410101010101, 0.745439393939394, 0.7484686868686868, 0.7514979797979797, 0.7545272727272727, 0.7575565656565656, 0.7605858585858586, 0.7636151515151515, 0.7666444444444445, 0.7696737373737373, 0.7727030303030302, 0.7757323232323232, 0.7787616161616161, 0.7817909090909091, 0.784820202020202, 0.787849494949495, 0.7908787878787878, 0.7939080808080807, 0.7969373737373737, 0.7999666666666666, 0.8029959595959596, 0.8060252525252525, 0.8090545454545455, 0.8120838383838384, 0.8151131313131312, 0.8181424242424242, 0.8211717171717171, 0.8242010101010101, 0.827230303030303, 0.830259595959596, 0.8332888888888889, 0.8363181818181817, 0.8393474747474747, 0.8423767676767677, 0.8454060606060606, 0.8484353535353535, 0.8514646464646465, 0.8544939393939394, 0.8575232323232322, 0.8605525252525252, 0.8635818181818182, 0.8666111111111111, 0.869640404040404, 0.872669696969697, 0.8756989898989899, 0.8787282828282827, 0.8817575757575757, 0.8847868686868687, 0.8878161616161616, 0.8908454545454545, 0.8938747474747475, 0.8969040404040404, 0.8999333333333333, 0.9029626262626262, 0.9059919191919192, 0.909021212121212, 0.912050505050505, 0.915079797979798, 0.9181090909090908, 0.921138383838384, 0.9241676767676767, 0.9271969696969696, 0.9302262626262626, 0.9332555555555556, 0.9362848484848484, 0.9393141414141414, 0.9423434343434344, 0.9453727272727273, 0.9484020202020202, 0.9514313131313132, 0.954460606060606, 0.957489898989899, 0.960519191919192, 0.9635484848484848, 0.9665777777777778, 0.9696070707070708, 0.9726363636363636, 0.9756656565656564, 0.9786949494949496, 0.9817242424242424, 0.9847535353535354, 0.9877828282828284, 0.9908121212121213, 0.993841414141414, 0.996870707070707, 0.9999]"
M/M/n Mean_2,M/D/n Mean_2,"[0.7, 0.7030292929292928, 0.7060585858585858, 0.7090878787878787, 0.7121171717171717, 0.7151464646464646, 0.7181757575757576, 0.7212050505050505, 0.7242343434343433, 0.7272636363636363, 0.7302929292929292, 0.7333222222222222, 0.7363515151515151, 0.7393808080808081, 0.742410101010101, 0.745439393939394, 0.7484686868686868, 0.7514979797979797, 0.7545272727272727, 0.7575565656565656, 0.7605858585858586, 0.7636151515151515, 0.7666444444444445, 0.7696737373737373, 0.7727030303030302, 0.7757323232323232, 0.7787616161616161, 0.7817909090909091, 0.784820202020202, 0.787849494949495, 0.7908787878787878, 0.7939080808080807, 0.7969373737373737, 0.7999666666666666, 0.8029959595959596, 0.8060252525252525, 0.8090545454545455, 0.8120838383838384, 0.8151131313131312, 0.8181424242424242, 0.8211717171717171, 0.8242010101010101, 0.827230303030303, 0.830259595959596, 0.8332888888888889, 0.8363181818181817, 0.8393474747474747, 0.8423767676767677, 0.8454060606060606, 0.8484353535353535, 0.8514646464646465, 0.8544939393939394, 0.8575232323232322, 0.8605525252525252, 0.8635818181818182, 0.8666111111111111, 0.869640404040404, 0.872669696969697, 0.8756989898989899, 0.8787282828282827, 0.8817575757575757, 0.8847868686868687, 0.8878161616161616, 0.8908454545454545, 0.8938747474747475, 0.8969040404040404, 0.8999333333333333, 0.9029626262626262, 0.9059919191919192, 0.909021212121212, 0.912050505050505, 0.915079797979798, 0.9181090909090908, 0.921138383838384, 0.9241676767676767, 0.9271969696969696, 0.9302262626262626, 0.9332555555555556, 0.9362848484848484, 0.9393141414141414, 0.9423434343434344, 0.9453727272727273, 0.9484020202020202, 0.9514313131313132, 0.954460606060606, 0.957489898989899, 0.960519191919192, 0.9635484848484848, 0.9665777777777778, 0.9696070707070708, 0.9726363636363636, 0.9756656565656564, 0.9786949494949496, 0.9817242424242424, 0.9847535353535354, 0.9877828282828284, 0.9908121212121213, 0.993841414141414, 0.996870707070707, 0.9999]"
M/D/n Mean_2,M/Lt/n Mean_2,"[0.7, 0.7030292929292928, 0.7060585858585858, 0.7090878787878787, 0.7121171717171717, 0.7151464646464646, 0.7181757575757576, 0.7212050505050505, 0.7242343434343433, 0.7272636363636363, 0.7302929292929292, 0.7333222222222222, 0.7363515151515151, 0.7393808080808081, 0.742410101010101, 0.745439393939394, 0.7484686868686868, 0.7514979797979797, 0.7545272727272727, 0.7575565656565656, 0.7605858585858586, 0.7636151515151515, 0.7666444444444445, 0.7696737373737373, 0.7727030303030302, 0.7757323232323232, 0.7787616161616161, 0.7817909090909091, 0.784820202020202, 0.787849494949495, 0.7908787878787878, 0.7939080808080807, 0.7969373737373737, 0.7999666666666666, 0.8029959595959596, 0.8060252525252525, 0.8090545454545455, 0.8120838383838384, 0.8151131313131312, 0.8181424242424242, 0.8211717171717171, 0.8242010101010101, 0.827230303030303, 0.830259595959596, 0.8332888888888889, 0.8363181818181817, 0.8393474747474747, 0.8423767676767677, 0.8454060606060606, 0.8484353535353535, 0.8514646464646465, 0.8544939393939394, 0.8575232323232322, 0.8605525252525252, 0.8635818181818182, 0.8666111111111111, 0.869640404040404, 0.872669696969697, 0.8756989898989899, 0.8787282828282827, 0.8817575757575757, 0.8847868686868687, 0.8878161616161616, 0.8908454545454545, 0.8938747474747475, 0.8969040404040404, 0.8999333333333333, 0.9029626262626262, 0.9059919191919192, 0.909021212121212, 0.912050505050505, 0.915079797979798, 0.9181090909090908, 0.921138383838384, 0.9241676767676767, 0.9271969696969696, 0.9302262626262626, 0.9332555555555556, 0.9362848484848484, 0.9393141414141414, 0.9423434343434344, 0.9453727272727273, 0.9484020202020202, 0.9514313131313132, 0.954460606060606, 0.957489898989899, 0.960519191919192, 0.9635484848484848, 0.9665777777777778, 0.9696070707070708, 0.9726363636363636, 0.9756656565656564, 0.9786949494949496, 0.9817242424242424, 0.9847535353535354, 0.9877828282828284, 0.9908121212121213, 0.993841414141414, 0.996870707070707, 0.9999]"
M/M/n Mean_3,M/D/n Mean_3,"[0.7, 0.7030292929292928, 0.7060585858585858, 0.7090878787878787, 0.7121171717171717, 0.7151464646464646, 0.7181757575757576, 0.7212050505050505, 0.7242343434343433, 0.7272636363636363, 0.7302929292929292, 0.7333222222222222, 0.7363515151515151, 0.7393808080808081, 0.742410101010101, 0.745439393939394, 0.7484686868686868, 0.7514979797979797, 0.7545272727272727, 0.7575565656565656, 0.7605858585858586, 0.7636151515151515, 0.7666444444444445, 0.7696737373737373, 0.7727030303030302, 0.7757323232323232, 0.7787616161616161, 0.7817909090909091, 0.784820202020202, 0.787849494949495, 0.7908787878787878, 0.7939080808080807, 0.7969373737373737, 0.7999666666666666, 0.8029959595959596, 0.8060252525252525, 0.8090545454545455, 0.8120838383838384, 0.8151131313131312, 0.8181424242424242, 0.8211717171717171, 0.8242010101010101, 0.827230303030303, 0.830259595959596, 0.8332888888888889, 0.8363181818181817, 0.8393474747474747, 0.8423767676767677, 0.8454060606060606, 0.8484353535353535, 0.8514646464646465, 0.8544939393939394, 0.8575232323232322, 0.8605525252525252, 0.8635818181818182, 0.8666111111111111, 0.869640404040404, 0.872669696969697, 0.8756989898989899, 0.8787282828282827, 0.8817575757575757, 0.8847868686868687, 0.8878161616161616, 0.8908454545454545, 0.8938747474747475, 0.8969040404040404, 0.8999333333333333, 0.9029626262626262, 0.9059919191919192, 0.909021212121212, 0.912050505050505, 0.915079797979798, 0.9181090909090908, 0.921138383838384, 0.9241676767676767, 0.9271969696969696, 0.9302262626262626, 0.9332555555555556, 0.9362848484848484, 0.9393141414141414, 0.9423434343434344, 0.9453727272727273, 0.9484020202020202, 0.9514313131313132, 0.954460606060606, 0.957489898989899, 0.960519191919192, 0.9635484848484848, 0.9665777777777778, 0.9696070707070708, 0.9726363636363636, 0.9756656565656564, 0.9786949494949496, 0.9817242424242424, 0.9847535353535354, 0.9877828282828284, 0.9908121212121213, 0.993841414141414, 0.996870707070707, 0.9999]"
M/M/n Mean_3,M/D/n Mean_3,"[0.7, 0.7030292929292928, 0.7060585858585858, 0.7090878787878787, 0.7121171717171717, 0.7151464646464646, 0.7181757575757576, 0.7212050505050505, 0.7242343434343433, 0.7272636363636363, 0.7302929292929292, 0.7333222222222222, 0.7363515151515151, 0.7393808080808081, 0.742410101010101, 0.745439393939394, 0.7484686868686868, 0.7514979797979797, 0.7545272727272727, 0.7575565656565656, 0.7605858585858586, 0.7636151515151515, 0.7666444444444445, 0.7696737373737373, 0.7727030303030302, 0.7757323232323232, 0.7787616161616161, 0.7817909090909091, 0.784820202020202, 0.787849494949495, 0.7908787878787878, 0.7939080808080807, 0.7969373737373737, 0.7999666666666666, 0.8029959595959596, 0.8060252525252525, 0.8090545454545455, 0.8120838383838384, 0.8151131313131312, 0.8181424242424242, 0.8211717171717171, 0.8242010101010101, 0.827230303030303, 0.830259595959596, 0.8332888888888889, 0.8363181818181817, 0.8393474747474747, 0.8423767676767677, 0.8454060606060606, 0.8484353535353535, 0.8514646464646465, 0.8544939393939394, 0.8575232323232322, 0.8605525252525252, 0.8635818181818182, 0.8666111111111111, 0.869640404040404, 0.872669696969697, 0.8756989898989899, 0.8787282828282827, 0.8817575757575757, 0.8847868686868687, 0.8878161616161616, 0.8908454545454545, 0.8938747474747475, 0.8969040404040404, 0.8999333333333333, 0.9029626262626262, 0.9059919191919192, 0.909021212121212, 0.912050505050505, 0.915079797979798, 0.9181090909090908, 0.921138383838384, 0.9241676767676767, 0.9271969696969696, 0.9302262626262626, 0.9332555555555556, 0.9362848484848484, 0.9393141414141414, 0.9423434343434344, 0.9453727272727273, 0.9484020202020202, 0.9514313131313132, 0.954460606060606, 0.957489898989899, 0.960519191919192, 0.9635484848484848, 0.9665777777777778, 0.9696070707070708, 0.9726363636363636, 0.9756656565656564, 0.9786949494949496, 0.9817242424242424, 0.9847535353535354, 0.9877828282828284, 0.9908121212121213, 0.993841414141414, 0.996870707070707, 0.9999]"
M/D/n Mean_3,M/Lt/n Mean_3,"[0.7, 0.7030292929292928, 0.7060585858585858, 0.7090878787878787, 0.7121171717171717, 0.7151464646464646, 0.7181757575757576, 0.7212050505050505, 0.7242343434343433, 0.7272636363636363, 0.7302929292929292, 0.7333222222222222, 0.7363515151515151, 0.7393808080808081, 0.742410101010101, 0.745439393939394, 0.7484686868686868, 0.7514979797979797, 0.7545272727272727, 0.7575565656565656, 0.7605858585858586, 0.7636151515151515, 0.7666444444444445, 0.7696737373737373, 0.7727030303030302, 0.7757323232323232, 0.7787616161616161, 0.7817909090909091, 0.784820202020202, 0.787849494949495, 0.7908787878787878, 0.7939080808080807, 0.7969373737373737, 0.7999666666666666, 0.8029959595959596, 0.8060252525252525, 0.8090545454545455, 0.8120838383838384, 0.8151131313131312, 0.8181424242424242, 0.8211717171717171, 0.8242010101010101, 0.827230303030303, 0.830259595959596, 0.8332888888888889, 0.8363181818181817, 0.8393474747474747, 0.8423767676767677, 0.8454060606060606, 0.8484353535353535, 0.8514646464646465, 0.8544939393939394, 0.8575232323232322, 0.8605525252525252, 0.8635818181818182, 0.8666111111111111, 0.869640404040404, 0.872669696969697, 0.8756989898989899, 0.8787282828282827, 0.8817575757575757, 0.8847868686868687, 0.8878161616161616, 0.8908454545454545, 0.8938747474747475, 0.8969040404040404, 0.8999333333333333, 0.9029626262626262, 0.9059919191919192, 0.909021212121212, 0.912050505050505, 0.915079797979798, 0.9181090909090908, 0.921138383838384, 0.9241676767676767, 0.9271969696969696, 0.9302262626262626, 0.9332555555555556, 0.9362848484848484, 0.9393141414141414, 0.9423434343434344, 0.9453727272727273, 0.9484020202020202, 0.9514313131313132, 0.954460606060606, 0.957489898989899, 0.960519191919192, 0.9635484848484848, 0.9665777777777778, 0.9696070707070708, 0.9726363636363636, 0.9756656565656564, 0.9786949494949496, 0.9817242424242424, 0.9847535353535354, 0.9877828282828284, 0.9908121212121213, 0.993841414141414, 0.996870707070707, 0.9999]"
